	Universidad	Título	Tesista	Grado	Asesor	Resumen	Año	Disciplina
273	Pontificia Universidad Católica del Perú	Construcción y pruebas de una herramienta de desarrollo de soluciones para inteligencia de negocios : análisis dimensional	Urbina Palomino, Luis Alejandro	Título Profesional	Davila, Abraham	El presente proyecto de tesis consiste en construir una aplicación que asiste en el diseño de modelos de datos dimensionales, parte fundamental del data mart. Estos modelos podrán ser enviados a motores de base de datos y generados en ellos, automáticamente.	2007	Ingeniería Informática
274	Pontificia Universidad Católica del Perú	Desarrollo de la metodología para la implementación de un sistema de gestión de calidad aplicado al software de computadora según la norma internacional ISO 9001:2000, bajo los lineamientos de la ISO 90003:2004	Dioses Farfán, Silvia Lorena	Título Profesional	Davila, Abraham	Existen recomendaciones de aplicación de calidad orientados a todo tipo de actividades, y por tanto el desarrollo de software no es la excepción. Pero muchas veces ocurre que poner en práctica la recomendación es más complicado de lo que parece. Y en ese sentido, el propósito de este trabajo es proponer una metodología práctica, que explique paso a paso cómo implantar un sistema de gestión de calidad aplicado al desarrollo de software.	2005	Ingeniería Informática
275	Pontificia Universidad Católica del Perú	Desarrollo del software del sistema embebido de la burbuja artificial neonatal	Barrios Montalvo, Andrés	Título Profesional	Davila, Abraham	El presente trabajo plantea el desarrollo del software de tiempo real del sistema embebido de la Burbuja Artificial Neonatal, en su Fase Experimental, capaz de controlar simultáneamente las múltiples variables ambientales como temperatura, porcentaje de humedad relativa, flujo y porcentaje de oxígeno; capaz de permitir la interacción con el usuario; y, capaz de monitorizar los parámetros ambientales.	2006	Ingeniería Informática
276	Pontificia Universidad Católica del Perú	Evaluación del proceso de generación de propuestas de precio fijo para la implementación de software empaquetado	López-Vera Flórez, Pedro Pablo	Título Profesional	Davila, Abraham	"Esta tendencia ha generado una importante oportunidad de negocio para compañías de Servicios de Información que se dediquen a la implementación de este tipo de Software, especialmente para aquellas dispuestas a presentar propuestas de precio fijo. Este tipo de propuesta es la más requerida por las compañías pertenecientes a este segmento de mercado ya que les permite transferir al proveedor el riesgo de asumir costos inesperados durante la implementación del software.
El presente estudio pretende brindar a estas compañías, especialmente aquellas que no cuentan con metodologías y procedimientos sofisticados, una herramienta que sirva como marco referencial para optimizar el proceso de generación de una propuesta de precio fijo; minimizando la ocurrencia de errores por defecto, lo que significaría una subestimación de costos, o de errores por exceso, lo que representaría perder negocios por sobreprecio. Al elevar la calidad en sus propuestas de precio fijo, mejorando la definición del alcance y la estimación del precio del servicio, estas compañías estarán en una mejor posición para obtener negocios rentables."	2008	Ingeniería Informática
277	Pontificia Universidad Católica del Perú	Implementación de firma digital en una plataforma de comercio electrónico	García Rojas, Walter Augusto	Título Profesional	Davila, Abraham	El objetivo de la presente tesis es desarrollar un esquema de Firma Digital para una plataforma Web de comercio electrónico haciendo uso de la infraestructura adecuada que permita firmar documentos y contratos con cien por ciento de valor legal y que sean cien por ciento confiables.	2008	Ingeniería Informática
278	Pontificia Universidad Católica del Perú	Intérprete de páginas Web dinámicas para el servidor Apache	Kong Moreno, Martín Richard	Título Profesional	Davila, Abraham	El presente trabajo tiene como objetivo explicar cómo funciona la tecnología Server-Side Scripting en la generación de páginas web dinámicas, desarrollando dos versiones de un intérprete basado en las reglas del lenguaje Pascal. La primera de estas versiones corre como un módulo DSO (Dynamic Shared Object) integrada al servidor Apache, mientras que la segunda es un intérprete independiente que genera las páginas dinámicamente interactuando con el servidor Apache vía CGI.	2004	Ingeniería Informática
279	Pontificia Universidad Católica del Perú	Localización del sistema SAP en la gestión de procesos de generación, renovación y refinanciación de letras de cambio en la empresa peruana	Huerta García, Sylma Nirvana	Título Profesional	Davila, Abraham	La presente Tesis tiene por objeto realizar el análisis, diseño e implementación de un Módulo automatizado de Generación y Refinanciación de Letras de Cambio, aplicando el Sistema Alemán SAP R3 (Sistemas, Aplicaciones y Productos), módulo de finanzas, adaptado al caso real de una empresa peruana. Accesoriamente, busca proveer a éstas de una herramienta que les facilite la gestión integral y contabilización financiera de las letras de cambio, así como diversificar y optimizar los servicios demandados por los clientes, en términos de economía de recursos y rapidez en la atención.	2007	Ingeniería Informática
280	Pontificia Universidad Católica del Perú	Mejora del proceso software de una empresa desarrolladora de software : caso Competisoft-Perú Delta	Nakashima Chávez, Giancarlo Juan	Título Profesional	Davila, Abraham	"El presente proyecto de fin de carrera corresponde a la ejecución de un ciclo de
mejora de procesos realizado en una pyme que se dedica principalmente al desarrollo de software, denominada en el proyecto y en el presente documento, por acuerdo de confidencialidad como DELTA.
Para la realización del ciclo de mejora se utilizó el modelo COMPETISOFT, ""Mejora
de Procesos para Fomentar la Competitividad de la Pequeña y Mediana Industria del Software de Iberoamérica"", financiado por la CYTED (Ciencia y Tecnología para el Desarrollo). Es importante resaltar que este modelo está siendo implantado y probado en diversas empresas peruanas desarrolladoras de software, a través de un trabajo conjunto con alumnos de la Pontificia Universidad Católica del Perú, grupo denominado COMPETISOFTPUCP."	2009	Ingeniería Informática
281	Pontificia Universidad Católica del Perú	Mejora del proceso software de una pequeña empresa desarrolladora de software : caso Competisoft-Perú-Omega	Briceño Ortega, Deborah Gabriela	Título Profesional	Davila, Abraham	"La mejora de procesos en una Pyme es un trabajo que implica, además de temas
técnicos, temas de administración y gestión de recursos humanos. En este proyecto
de tesis se realizó el esfuerzo de mejora en una Pyme dedicada a la venta y
comercialización de un Sistema Integrado especializado, esta empresa fue
evaluada al inicio del proyecto para identificar brechas respecto al modelo,
posteriormente se propuso un plan de mejora, el cual fue implementado a través de
pilotos dentro de la empresa. Finalmente se realizó una evaluación de los
resultados obtenidos."	2009	Ingeniería Informática
282	Pontificia Universidad Católica del Perú	Mejora del proceso software de una pequeña empresa desarrolladora de software : caso COMPETISOFT-Perú Tau	Sánchez Lorenzo, Gonzalo Alonso	Título Profesional	Davila, Abraham	"Este proyecto de fin de carrera, presenta la implementación de un ciclo de mejora
basado en el marco de trabajo COMPETISOFT (MoProSoft, EvalProSoft, PMCompetiSoft). La implementación se ejecuta en una PYME de Perú dedicada al desarrollo integral de soluciones tecnológicas a medida en el mercado de Internet, aplicaciones de negocios ""Web enabled"", marketing interactivo y producción multimedia."	2008	Ingeniería Informática
283	Pontificia Universidad Católica del Perú	Mejora del proceso software de una pequeña empresa desarrolladora de software : caso COMPETISOFT-Perú Lambda	Vergara González, Dianne Britt	Título Profesional	Davila, Abraham	"Este proyecto de fin de carrera, presenta la implementación de un ciclo de mejora basado en el marco de trabajo de COMPETISOFT. Dicho proyecto se ejecuta en una pyme a la que denominaremos LAMBDA que cuenta con desarrollos e innovaciones propietarios en un campo muy especializado en hardware y software y tecnologías de
Infraestructura, cabe resaltar que dicha empresa cuenta con la certificación ISO
9001:2000 en diseño y desarrollo de software, ello facilitó en gran medida a la
ejecución del proyecto, ya que la cultura organizacional no mostró tanto rechazo al
cambio, pues se entendía que los cambios eran para mejorar y no para buscar culpables y por ende generar despidos."	2008	Ingeniería Informática
284	Pontificia Universidad Católica del Perú	Sistema administrador de requerimientos y planificador de tareas	La Rosa Macedo, Gina	Título Profesional	Davila, Abraham	"Según un informe de Gartner Group, cerca del 46 del total de proyectos tienen grandes desfases en tiempo de finalización y adecuación funcional de las necesidades que se pretenden cubrir. Además el 28 del total de proyectos se abandonaban tras haber gastado un cierto tiempo y dinero y además sin ningún retorno de la inversión. [Gartner Symposium ItxPo 2004]
El presente trabajo de tesis fue concebido con el propósito de ordenar y sistematizar el flujo de los requerimientos que los usuarios realizan, administrando la forma en que sus necesidades llegan al área de sistemas. Por ello, se ha realizado una investigación para estructurar una base sólida para la elaboración de un producto de software que colabore en la gestión de requerimientos de la empresa en donde se realizó el proyecto."	2009	Ingeniería Informática
285	Pontificia Universidad Católica del Perú	Sistema de análisis, diseño e implementación para la administración de comunidades cristianas	Díaz Jiménez, Giannina Lizeth	Título Profesional	Davila, Abraham	El siguiente proyecto de fin de carrera tiene como finalidad realizar un sistema para la administración de los principales procesos que tiene una comunidad cristiana de cualquier denominación para lograr mejorar el servicio que tiene la iglesia con sus miembros.	2007	Ingeniería Informática
286	Pontificia Universidad Católica del Perú	Sistema de gestión de ambientes en una escuela de negocios	Espinoza Reyes, Nancy Raquel	Título Profesional	Davila, Abraham	El Sistema de Gestión de Ambientes tiene como objetivo ser una herramienta que permita agilizar estos procesos, siendo de apoyo para la correcta administración de las diversas actividades que se desenvuelven en la escuela de negocios. El presente trabajo de tesis presenta las etapas de análisis, diseño e implementación que se siguieron para desarrollar el sistema.	2008	Ingeniería Informática
287	Pontificia Universidad Católica del Perú	Sistema de gestión de seguridad de información para una institución financiera	Villena Aguilar, Moisés Antonio	Título Profesional	Davila, Abraham	La presente tesis ha realizado una investigación de las normas y estándares que van difundiéndose con mayor énfasis en el mercado peruano, en especial en el sector financiero. Se rescataron los aspectos más saltantes de cada norma y estándar, a partir de los cuales se plantea un esquema de gestión de seguridad de información que puede ser empleado por una institución financiera en el Perú, lo cual permitirá que ésta cumpla con las normas de regulación vigentes en lo relacionado a la Seguridad de Información.	2006	Ingeniería Informática
288	Pontificia Universidad Católica del Perú	Sistema de información para el costeo por procesos de las industrias vitivinícolas	Yi Sánchez, Zenaida Liliana	Título Profesional	Davila, Abraham	"La demanda creciente de vinos a nivel del Perú y del mundo ha originado un auge inusitado en las industrias vitivinícolas las cuales son contadas a nivel nacional. Los métodos empleados actualmente que soportan la mayoría de sus procesos de fabricación de vinos son manuales, lo cual conlleva a una proliferación de error humano y a una inversión de tiempo considerable en revisiones y correcciones. 
Ante esta situación, el presente trabajo de tesis presenta una alternativa de solución que de aplicarse facultará al sector vitivinícola obtener información exacta, confiable y oportuna sobre los costos incurridos durante todo el proceso de elaboración de vinos. A su vez, se logrará la trazabilidad que implica el reconocimiento y la preferencia del público; además de una oportunidad de mejorar la toma de decisiones administrando y planeando las adquisiciones de los recursos de una manera más eficiente."	2008	Ingeniería Informática
289	Pontificia Universidad Católica del Perú	Sistema de información para la configuración y aplicación de encuestas de clima laboral	Lara Flores, Juan Carlos	Título Profesional	Davila, Abraham	El presente trabajo de tesis permitirá conocer el análisis, desarrollo e implementación del Sistema de Encuestas de Clima Laboral Qtool, herramienta mediante la cual se puede obtener el índice de satisfacción de los empleados frente a su organización, obteniendo como resultado de dicho estudio las fortalezas y debilidades de la organización frente a sus empleados.	2009	Ingeniería Informática
290	Pontificia Universidad Católica del Perú	Sistema de información para una bolsa de energía en el sector eléctrico y financiero peruano	Bazalar Valverde, Gerardo Manuel Martín	Título Profesional	Davila, Abraham	Los Sistemas de Información son una necesidad cada vez mayor en todos los ámbitos de la economía nacional, son parte de las estrategias de automatización de los procesos en la búsqueda de mayor productividad además de ser usados por muchas organizaciones como el camino para el desarrollo de nuevas estrategias de negocios. Dentro de estas estrategias encontramos a las que desarrollan a la Bolsa de Energía, una institución similar a las bolsas de valores pero cuyo elemento de negociación es la energía y derivados financieros que la tienen como activo subyacente.	2006	Ingeniería Informática
291	Pontificia Universidad Católica del Perú	Sistema experto para el apoyo del proceso de orientación vocacional para las carreras de ingeniería en la Pontificia Universidad Católica del Perú	Tapia Castillo, Jackeline	Título Profesional	Davila, Abraham	"El presente proyecto de fin de carrera plantea la creación de un sistema
experto que sirva de apoyo al proceso de orientación vocacional de las carreras de Ingeniería de la Pontificia Universidad Católica del Perú.
La finalidad de dicho sistema es contar con una herramienta que permita al alumno identificar sus verdaderos intereses y habilidades así como disponer de la información necesaria acerca de las opciones vocacionales existentes, a su vez será una herramienta de apoyo para el orientador vocacional en su labor de asesoramiento a los alumnos sobre su futuro profesional."	2009	Ingeniería Informática
292	Pontificia Universidad Católica del Perú	Un algoritmo GRASP con doble relajación para resolver problema del flow shop scheduling	Ramírez Rodríguez, César Oswaldo	Título Profesional	Davila, Abraham	"La mayoría de líneas de producción, incluso las grandes, no tienen una forma adecuada
de planificar su producción, optando por distribuciones manuales, producto del
conocimiento del jefe de planta o repitiendo alguna anterior con realidades distintas.
Esto conlleva a que los recursos (trabajadores, maquinas) estén sin trabajar (ociosas)
hasta ser utilizadas, manteniendo las máquinas prendidas, consumiendo
combustible y los trabajadores especialistas en una tarea, haciendo otra tarea."	2006	Ingeniería Informática
