Institución,Título,Autor,Grado,Asesor(es),Año,Resumen,Categoría
Universidad de Lima,Estudio de prefactibilidad para la implementación de un bar especializado en ginebra y cerveza en Lima Metropolitana,"Miñan Mendez, Fabrizio Antonio, Pellegrin Cisneros, Andre Mauricio","Tesis para optar el Título Profesional de Ingeniero Industrial, Universidad de Lima","Vidal Paredes, Alex Antonio",2021,"El presente estudio propone la implementación de un bar especializado en tragos y 
bebidas a base de ginebra; así como en cerveza, en la región de Lima Metropolitana. El
valor agregado del proyecto se basa en tres pilares: calidad en la atención al cliente, 
calidad en las bebidas ofrecidas y un local diseñado para el máximo confort de sus 
clientes.
En primer lugar, se analiza el panorama actual de los productos que el servicio 
brinda: un completo análisis del mercado de cerveza y ginebra en el Perú en los últimos 
años.
A continuación, se elabora un estudio de mercado. Se segmenta el mercado para 
calcular de manera precisa la demanda específica del proyecto. Con la segmentación, el 
alcance del proyecto es el siguiente: bar especializado en tragos y bebidas a base de 
ginebra; así como en cerveza en Lima Moderna, enfocado en la población entre los 21 
años y 35 años, de NSE A y B, con preferencia por salir a tomar un trago como opción 
de esparcimiento. Con esta segmentación, la demanda específica inicial del proyecto es 
de…
Obtenida la demanda, se analizan los potenciales distritos de Lima Moderna en 
donde se puede ubicar el local que alojará el proyecto. El análisis se basa en distintos 
factores de decisión. Luego del análisis, se determina que es Miraflores el distrito en 
donde se localizará el servicio.
La capacidad instalada del proyecto tiene como factor limitante a la demanda 
máxima del proyecto, que alcanza este valor en el año 2022, con 45 664,00 
En cuanto a la ingeniería del proyecto, se diseña todo el proceso de servicio: 
desde el flujograma de atención al cliente, el cálculo de capacidad productiva e 
instalada, hasta el plano de distribución y de seguridad del proyecto. Todo ello, 
salvaguardando las buenas prácticas, la calidad y la seguridad de los procesos.
El factor humano es el motor de este proyecto. Es por ello que la organización 
administrativa describe las funciones que sumadas todas, lograrán el objetivo de una 
atención de calidad.",Ingeniería industrial / Diseño e innovación
Universidad de Lima,Mejora del proceso de ensamblaje de cocinas de la empresa Tecnicentro Cuzco S.A.C.,"Castro Segovia, Carlos Miguel, O’Brien Chavez Arroyo, Brad Percy","Tesis para optar el Título Profesional de Ingeniero Industrial, Universidad de Lima","Reaño Vera, Abel Antonio Martin",2021,"En el presente trabajo de investigación el problema principal identificado es el 
incumplimiento de la meta de producción. El objetivo del proyecto es establecer 
alternativas de solución que ayuden a mejorar la producción actual del taller de 
ensamblaje de cocinas de la empresa Tecnicentro Cuzco S.A.C. 
El análisis realizado al área demostró que la falta de un balance de línea y una 
correcta disposición de planta tienen como efecto la existencia de cocinas pendientes por 
ensamblar (609 unidades) y la disminución de ingresos (S/ 31 607).
La investigación plantea dos alternativas de solución: el rediseño de la línea de 
ensamblaje y agilizar las pruebas de hermeticidad de las válvulas y tuberías de las 
cocinas.
La primera alternativa es el rediseño de la línea de ensamblaje, con esta propuesta 
se busca establecer estaciones de trabajo mediante un balance de línea, implementándolas 
con todos sus requerimientos, conectadas a través de una faja transportadora, permitiendo
una distribución más eficiente y un incremento en la producción.
La segunda alternativa es agilizar la prueba de hermeticidad de las válvulas y 
tuberías de las cocinas, el objetivo de esta propuesta es remplazar el GLP usado en las 
pruebas por aire comprimido, permitiendo realizar cuatro pruebas a la vez, de esta manera 
reducir el riesgo que implica trabajar con GLP, además de reducir el tiempo de inspección 
de las válvulas y tuberías.
Tras realizar una simulación de la mejora, es viable técnica y económicamente el 
proyecto; debido a que el VAN es positivo con un valor de S/ 37 986,33, un TIR mayor 
al COK de 29,99%, un beneficio/costo de 1,42 y el periodo de recuperación es de 3 años, 
6 meses y 7 días. El costo total de la inversión es de S/ 91 341,00.",Ingeniería industrial / Logística
Universidad de Lima,Proyecto Cruz Ámbar,"Zapatel Davey, Rodi Delot","Trabajo de suficiencia profesional para optar el Título Profesional de Ingeniero de Sistemas, Universidad de Lima","Zurita Calderon, Hernando Andre",2021,"El proyecto Cruz Ámbar nació de la necesidad de aumentar la cantidad de horas disponibles del personal médico, a la demanda de servicios médicos de los peruanos que no cuentan con seguro médico privado. La solución se presenta como un ecosistema que permite enlazar dicha demanda con la oferta de horas médico disponibles compuestos por aplicativos para smartphones, y aplicaciones web que crean un ecosistema de servicio que garantizaría cubrir, al menos, parte de la demanda, garantizando la atención de las necesidades en un tiempo racional a un precio justo. Los principales motivadores de la idea fueron que la mayor parte de la población trabaja de manera informal y que, los que trabajan de manera formal, en su mayoría, no cuentan con un seguro privado. Por otro lado, el sistema de salud público está constantemente colapsado, entregando un servicio bastante lejano a lo deseable. Se ha identificado que existe un gran número de médicos que requieren mejorar sus ingresos, porque no tienen capital para estudiar una especialización y/o para manejar un consultorio privado. Hacer visitas a domicilio, cerca de su ubicación y en sus tiempos libres les generaría ingresos adicionales considerables. Este modelo de negocios tiene que sustentarse en grandes volúmenes de transacciones para ser rentable, por ello la idea es implementarlo inicialmente por ciudad. Se realizó un estudio de mercado, y se halló que sí existe interés y mercado potencial. Por otro lado, es completamente factible hacer el desarrollo tecnológico a un costo adecuado. Sobre la base de ello, se diseñó una solución que satisface los intereses de las partes interesadas, Se ha investigado tecnología acorde a la idea central para smartphones, los servicios en la nube sobre los que se montaría dicha solución, se realizaron comparativos de costos en desarrollo, base de datos, conectividad. Evaluando los flujos económicos proyectados para confirmar la viabilidad del proyecto.",Ingeniería de sistemas / Software
Universidad de Lima,Relación entre estrategias de  afrontamiento y bienestar  psicológico en personal médico durante la pandemia COVID-19,"Soto Terrones, Valeria Alessandra","Trabajo de suficiencia profesional para optar el Título Profesional de Licenciado en Psicología, Universidad de Lima","Flores Giles, Zoila Magaly",2021,"La pandemia del COVID-19 ha impactado negativamente de manera global en la vida de 
todos. Los profesionales de la salud han sido una de las poblaciones más golpeadas por 
la pandemia al encontrarse en primera línea de defensa en contra del COVID-19, y 
necesitan ciertas estrategias de afrontamiento para mantener un bienestar psicológico 
óptimo. Por eso el objetivo de este estudio fue analizar la relación entre las estrategias de 
afrontamiento y el bienestar psicológico a través de la revisión de varias investigaciones
que analizan la correlación entre estas variables durante el contexto de pandemia. Se 
realizó una búsqueda siguiendo algunos de los criterios PRISMA. Las bases de datos 
consultadas fueron APA PsycNet, Google Scholar, ProQuest, PubMed y Scopus. Al final 
del proceso de búsqueda fueron seleccionados 7 artículos que analizaron dicha relación.
Se encontró que las estrategias de afrontamiento influyen de manera significativa en que 
el individuo presente un mayor o menor bienestar. Las estrategias relacionadas a la 
búsqueda de soporte social y afrontamiento activo resultaron eficaces para afrontar las 
situaciones estresantes derivadas del COVID-19; a diferencia de estrategias como la 
evitación activa o el recurrir a la religión que tuvieron un impacto negativo en el bienestar 
psicológico. La resiliencia, la percepción de riesgo y el miedo a la infección han 
demostrado funcionar también como factores mediadores en la relación entre el evento 
estresante y el bienestar psicológico.",Psicología / Psicología social
Universidad de Lima,Estudio de prefactibilidad para la Instalación de una tienda de conveniencia con tecnología de  autoservicio,"Londoño Deonier, Nicolas, Yep Choy, Daniela","Tesis para optar el Título Profesional de Ingeniero Industrial, Universidad de Lima","Espinoza Matos, José Francisco",2021,"El presente plan de investigación propone la instalación de una tienda de conveniencia con 
tecnologías de autoservicio, cuya propuesta de valor consiste en mejorar la experiencia de 
compra. El servicio tendrá como canal de compra un aplicativo móvil, con el que podrán 
escanear los productos deseados y realizar los pagos sin necesidad de hacer colas.
En el capítulo I: Aspectos generales, se describe la problemática actual y se plantean 
los objetivos, hipótesis, marco conceptual y referencial de la investigación.
En el capítulo II se realiza el estudio de mercado, el cual implica describir el servicio, 
segmentar el mercado objetivo, analizar la oferta actual, y definir el mix de marketing.
La ubicación óptima del proyecto se determina en el capítulo III: Localización del 
servicio, aplicando el método de Brown & Gibson, el cual consiste en analizar y comparar 
los factores subjetivos y objetivos más relevantes para el proyecto. Se concluye que la 
localización óptima es el distrito de San Isidro, tentativamente en la Avenida Rivera 
Navarrete.
El capítulo IV: Dimensionamiento del Servicio determina que el factor limitante del 
servicio es el mercado, el cual asciende a S/ 2 539 273 al año.
El capítulo V: Ingeniería del proyecto presenta el plano de la tienda; para ello se 
describe la tecnología, los equipos, muebles, enseres, personal y servicios necesarios para 
desarrollar el servicio. Se define además que el factor limitante del servicio es el metraje de 
la tienda, el cual permite un aforo de 13 personas. Con ello, se estima que la capacidad anual 
de atención de la tienda es de 616 512 personas al año. Otrostemas a desarrollar en el capítulo 
son la medición de la calidad, la seguridad, el mantenimiento, el impacto ambiental, entre 
otros.
Los puestos de trabajo, sus funciones y la estructura organizacional se definen en el 
capítulo VI: Organización Administrativa, dividiéndose en personal administrativo y 
personal de contacto.
El capítulo VII: Presupuestos y Evaluación del Proyecto presenta una estimación de 
los costos involucrados en la apertura y funcionamiento del servicio; entre ellos, los activos 
tangibles, intangibles, capital de trabajo, costos y gastos de operación. Además, se proyectan 
los flujos económico y financiero, así como los indicadores principales de viabilidad 
financiera (VAN, TIR, B/C y periodo de recupero).
Finalmente, en el capítulo VIII: Evaluación Social del proyecto se calculan e 
interpretan los indicadores sociales de empleabilidad y rendimiento del capital.",Ingeniería industrial / Diseño e innovación
Universidad de Lima,Proyecto documental ¿en qué día salgo yo?,"Prada Rivera, Jaime Enrique","Trabajo de suficiencia profesional para optar el Título Profesional de Licenciado en Comunicación, Universidad de Lima","Vizcarra Cabrera, Ángel Ricardo",2021,"¿En qué día salgo yo? es un documental autobiográfico y experimental que retrata la
situación de personas transgénero ante abusos del gobierno ocasionados por las medidas
contra la pandemia COVID-19. Narrado como viaje introspectivo desde el punto de vista
de los personajes, se afrontarán temas relevantes como la identidad transgénero, violencia
social y abusos de autoridad.",Comunicación / Gestión y realización audiovisual
Universidad de Lima,Informe de Expediente Civil No. 183508-2004-00326-0 Sobre Divorcio por Causal. Informe de Expediente Administrativo No: 196-2014/CEB Sobre Barreras Burocráticas,"Rivera Carlos, Alejandra Marina","Trabajo de suficiencia profesional para optar el Título Profesional de Abogado, Universidad de Lima",,2021,"Materia: Divorcio por Causal Nº de Expediente: 183508-2004-00326-0. El Informe Jurídico ha sido planteado en base a un proceso judicial de divorcio por causal. Dada la naturaleza del presente Expediente, corresponde verificar si las causales de divorcio invocadas por la parte demandante fueron las correctas conforme a la legislación nacional en la materia. Materia: Barreras Burocráticas Nº de Expediente: 196-2014/CEB. El presente procedimiento administrativo versa sobre una denuncia interpuesta por una empresa privada en contra de la Municipalidad de Lima en tanto le estaría imponiendo, de manera ilegal e irracional, una exigencia consistente en que la leyenda del anuncio publicitario consignada en la solicitud de autorización de instalación deba coincidir con el giro del establecimiento, materializada en la Resolución de Gerencia 0448-2013-SISLIC-GDE. En el expediente materia de análisis se abordarán principalmente asuntos relativos al derecho administrativo, procedimiento trilateral y aspectos especiales de la legislación de barreras burocráticas. Asimismo, corresponde verificar si la exigencia de la Municipalidad de Lima constituye una barrera burocrática o se encuentra debidamente sustentada por la entidad administrativa.",Derecho / Derecho civil
Universidad de Lima,Informe de Expediente Civil No. 05001-2009-0-04-JR-CI-08 sobre Otorgamiento de Escritura Pública. Informe de Expediente Administrativo No 2338-2017-TCE sobre Procedimiento Administrativo Sancionador,"Vásquez Chumacero, Helerf Sebastián","Trabajo de suficiencia profesional para optar el Título Profesional de Abogado, Universidad de Lima",,2021,"Materia: Otorgamiento de Escritura Pública Nº de Expediente: 05001-2009-0-04-JR-CI-08. El proceso tramitado sobre otorgamiento de escritura pública ante el Octavo Juzgado Civil de Arequipa resulta controvertido, puesto que, pese a que el demandante cumplió con sustentar adecuadamente su pretensión; las Sentencias N° 128-2012 y N° 75-2014 declararon infundada la demanda por no acreditarse la existencia de la obligación de la demandada de otorgar escritura pública. Materia: Procedimiento Administrativo Sancionador Nº de Expediente: 2338-2017-TCE. Análisis del voto en mayoría y voto en discordia en el procedimiento administrativo sancionador ante el Tribunal del Organismo Supervisor de las Contrataciones del Estado, respecto de las infracciones de contratar con el Estado estando impedido para ello y presentar información inexacta ante la Entidad, tipificadas en los literales c) y h) del numeral 50.1 del artículo 50 de la Ley N° 30225, Ley de Contrataciones del Estado.",Derecho / Derecho civil
Universidad de Lima,Informe de Expediente Civil No. 00364-2014-0-1308-JR-CI-02 Sobre Otorgamiento de Escritura Pública. Informe de Expediente Constitucional No 3933-2001 Sobre Acción de Amparo,"Oliveros Aquije, Jean Carlos","Trabajo de suficiencia profesional para optar el Título Profesional de Abogado, Universidad de Lima",,2021,"Materia: Otorgamiento de Escritura Pública Nº de Expediente: 00364-2014-0-1308-JR-CI-02. En el presente expediente la demandante señala que suscribió con el demandado R.O.F.R. el documento denominado “Compromiso de Compra Venta”, mediante el cual se
comprometió a venderle conjuntamente con su esposa, A.M.S.B.F., el departamento ubicado en Huacho, provincia de Huaura, por la suma de US$45, 000. 00 (CUARENTA
Y CINCO MIL DÓLARES AMERICANOS). Se interpone la demanda contra R. O. F. R. y A. M. S. F., solicitando lo siguiente: - El otorgamiento de escritura pública derivada
del compromiso de venta de fecha 21 de mayo de 2012. - Que se le reconozca los pagos efectuados a cuenta del valor del predio. - Que se acepte el ofrecimiento de pago del Saldo del precio pactado ascendente a la suma de US$ 31,000 (TREINTA Y UN MIL DÓLARES AMERICANOS) a la firma de la correspondiente escritura pública. EXPEDIENTE CONSTITUCIONAL: ACCIÓN DE AMPARO Materia: Acción de Amparo Nº de Expediente: 3933-2001. El marco conceptual del presente expediente aborda instituciones jurídicas propias del Derecho Constitucional y Procesal Constitucional, cuya conceptualización ha sido abordada por la doctrina y jurisprudencia.",Derecho / Derecho civil
Universidad de Lima,Implementación de estrategias de desarrollo de mercado y de revenue management en el hotel Best Western Los Andes de América,"Galvez Vallenas, Cesar","Trabajo de suficiencia profesional para optar el Título Profesional de Ingeniero Industrial, Universidad de Lima","Valdez Ampuero, Ana Elizabeth",2021,"El presente trabajo muestra el desarrollo e implementación de estrategias de desarrollo 
de mercado y de revenue management que realizó el hotel Best Western Los Andes de 
América, ubicado en la ciudad de Cusco, durante los años 2011 al 2015, con el objetivo 
de mejorar sus niveles de ocupación e ingresos que se vieron afectados como 
consecuencia de la crisis financiera del 2008 y de la epidemia de gripe AH1N1, que 
afectaron fuertemente al sector de turismo y hotelería a nivel mundial y nacional; y a las 
que se sumó las inundaciones que sufrió la ciudad de Cusco en el 2010.
Con el objetivo de lograr la recuperación del hotel, se implementaron estrategias de 
desarrollo de mercado enfocadas en las agencias de viaje online (OTAs), dirigirse a 
mercados emergentes, principalmente Brasil, Chile, Argentina, Colombia y México; y a 
los nuevos segmentos de mercado, como naturaleza, DINKYS, LOHAS y Elderly.
Así mismo se implementaron estrategias de desarrollo de revenue management, para lo 
cual se segmentó el mercado por canales de comercialización, se implementó una 
estrategia flexible de precios y una gestión de la demanda basada en discriminación por 
precio y tarifas dinámicas.
Como resultado de las estrategias desarrolladas, el hotel pudo revertir su situación, 
mejorando sus niveles de ocupación, aumentando su porcentaje de ventas a través de las 
agencias de viaje online (OTAs), mejorando su tarifa promedio; lo que finalmente le 
permitió incrementar sus ingresos.",Ingeniería industrial / Tecnología de procesos
Universidad de Lima,Investigación de mercado y planeamiento de campaña de comunicación para la introducción de la marca de snacks saludables “Andinas”,"Muente Benzaquen, Matías José, Valdez Acuña, Marina Rossana","Trabajo de suficiencia profesional para optar el Título Profesional de Licenciado en Comunicación, Universidad de Lima",,2021,"El presente proyecto de investigación desarrolla la creación de la marca “Andinas”, especializada en la elaboración de snacks peruanos y plantea una campaña de comunicación integral que busca lograr conocimiento y recordación de la marca en un 80% del segmento de consumo A, B y C, en el primer trimestre de su lanzamiento. La campaña se enfoca en la introducción de cuatro variedades de snacks de la marca: dos a base de papa blanca peruana y dos de pecanas con arándanos o aguaymanto. Los productos Andinas han sido creados para satisfacer las necesidades del nuevo consumidor, quien se muestra cada vez más preocupado por su salud y busca mantener un balance entre la comida, las grasas y los azúcares. Es así que, todos los snacks son elaborados con productos naturales que cuentan con propiedades alimenticias y no contienen saborizantes ni preservantes artificiales. Además, son libres de octógonos de advertencia y cuentan con certificaciones que aseguran su naturaleza libre de transgénicos y gluten. Este proyecto incluye un análisis del sector, contexto y público objetivo, en base al cual se realizó la estrategia de la campaña a desarrollar. Asimismo, presenta la propuesta creativa donde se trabaja la creación de la marca y el branding de los diferentes productos y, posteriormente, se desarrolla la estrategia de medios a través de los principales canales de comunicación online y offline.",Comunicación / Publicidad y marketing
Universidad de Lima,Campaña de lanzamiento para la marca de snacks saludables peruanos Thany,"Lujan Diaz, Tifany Cristina, Guerra Guerra, Morelia Paola","Trabajo de suficiencia profesional para optar el Título Profesional de Licenciado en Comunicación, Universidad de Lima",,2021,"El proyecto se centra en la elaboración de una campaña de lanzamiento para una nueva marca de snacks saludables, que tiene como nombre Thany. Este plan tiene como objetivo de marketing lograr el conocimiento y recordación de marca en el primer trimestre, mientras que, como objetivo de comunicación, lo que se desea es comunicar el lanzamiento de la marca de snacks destacando sus beneficios diferenciales. Después de la investigación de la categoría, el contexto y el público objetivo, logramos determinar que los estilos de vida en cuanto a la alimentación han cambiado, principalmente porque ahora nuestro target se alimenta más y no encuentran opciones en el mercado de sean saludables, así como de fácil acceso. Debido a esto, creamos Thany, una marca de snacks de alta calidad y accesible para nuestro público objetivo. Este proyecto se divide en dos partes. En primer lugar, se recopiló toda la información del sector, contexto, público objetivo y competencia para poder desarrollar una estrategia de lanzamiento. En segundo lugar, presentamos el planeamiento estratégico de la campaña lanzamiento que incluye la propuesta creativa y plan de medios.",Comunicación / Publicidad y marketing
Universidad de Lima,Relanzamiento de la Identidad Visual de la marca “Rustica”,"Herrera Romani, Diego Alejandro, Valencia Villarreal, María Fernanda","Trabajo de suficiencia profesional para optar el Título Profesional de Licenciado en Comunicación, Universidad de Lima",,2021,"El siguiente trabajo profesional corresponde al relanzamiento de la identidad visual de la marca peruana “Rustica”. Esto corresponde a la coyuntura de pandemia por la que pasa el país y la necesidad de posicionar a la marca como una opción con variedad de servicios para las familias peruanas. Es a partir de ello que se busca dar personalidad a cada submarca que presenta la empresa para que el público pueda encontrar en Rustica la mejor opción. Los materiales por entregar son la Estrategia de Comunicación, el nuevo Manual de Identidad y la Campaña Gráfica.",Comunicación / Publicidad y marketing
Universidad de Lima,Informe de Expediente Arbitraje N 64-2017-CCL Sobre Arbitraje con el Estado. Informe de Expediente Administrativo N 777-2015/CC1 Sobre Protección del Consumidor,"Noriega Trujillo, Carla","Trabajo de suficiencia profesional para optar el Título Profesional de Abogado, Universidad de Lima",,2021,"Materia: Arbitraje con el Estado Nº de Expediente: 64-2017-CCL. El presente expediente versa sobre una controversia entre Metro de Lima Línea 2 S.A. y el Ministerio de Transportes, por la aplicación de penalidades contractuales en el marco de la ejecución del Contrato de Concesión para el Diseño, Financiamiento, Construcción, Equipamiento Electromecánico y Equipamiento de Sistema y Provisión de Material Rodante, Operación y Mantenimiento del Proyecto “Línea 2 y Ramal Av. Faucett – Av. Gambetta de la Red Básica del Metro de Lima y Callao. Materia: Protección del Consumidor Nº de Expediente: 777-2015/CC1. El presente Expediente versa sobre un procedimiento administrativo de protección al consumidor seguido ante el Instituto Nacional de Defensa de la Libre Competencia y Protección de la Propiedad Intelectual – INDECOPI, donde se discute los alcances del deber de idoneidad del proveedor frente a las expectativas del consumidor y el derecho del consumidor a obtener una respuesta y atención a sus reclamos.",Derecho / Derecho civil
Universidad de Lima,Informe de Expediente Civil No 00027-2016-0-0401-JR-CI-01 Sobre: Nulidad de Acto Jurídico. Informe de Expediente Tributario: 2054-2012 Sobre Impuesto a la Renta,"Vásquez De La Gala, Nicolás Antonio","Trabajo de suficiencia profesional para optar el Título Profesional de Abogado, Universidad de Lima",,2021,"Materia: Nulidad de Acto Jurídico Nº de Expediente: 00027-2016-0-0401-JR-CI-01. El presente Expediente consiste en un proceso de conocimiento sobre nulidad de acto jurídico. En ese sentido, durante el desarrollo del proceso judicial, se abordan cuestiones como: i) elementos del acto jurídico ii) nulidad, iii) nulidad por fin ilícito; iv) nulidad por objeto jurídica y físicamente imposible; v) nulidad virtual, entre otros. Materia: Impuesto a la Renta Nº de Expediente: 2054-2012. El presente Expediente consiste en un proceso administrativo sobre el Impuesto a la Renta. En ese sentido, durante el desarrollo del proceso judicial, se abordan cuestiones como: (i) Impuesto a la Renta; (ii) Principio de Causalidad; (ii) Deducibilidad de Gastos Financieros; (iv) Principio de Calificación Económica de los hechos; y, (v) Simulación, Elusión y Fraude a la Ley.",Derecho / Derecho civil
Universidad de Lima,Realidad aumentada para el Sector Retail,"Benites Moreno, Mireya Milagros, Bocanegra Siu, Tatiana","Trabajo de investigación para optar el grado académico de Maestro en Administración y Dirección de Negocios, Universidad de Lima","Fernández Vásquez, Richard Fernando",2021,"El comercio electrónico en el Perú viene incrementándose son más las personas que prefieren usar un canal digital para adquirir productos y/ o servicios. Bajo este contexto, la realidad aumentada está tomando protagonismo en varios comercios como por ejemplo el retail (Blacksip, 2019). La presente tesis tiene como objetivo presentar el plan de negocios de la aplicación “Mira como Queda” cuya propuesta de valor es generar una experiencia de venta rápida, sencilla e innovadora mediante el uso de una aplicación móvil que utilice la realidad aumentada para la compra muebles y artefactos para el hogar, la aplicación se llamará “Mira como Queda”, la empresa se caracterizará por la calidad del buen servicio pre y post venta. En el primer capítulo, se ha desarrollado temas generales como la presentación de la empresa, la motivación del proyecto, la estrategia inicial, los objetivos y el impacto comercial, En el segundo capítulo, se realizó una revisión del contexto interno y externo de la situación y tendencias del E-Commerce para muebles y artefactos para el hogar en el Perú, así como el consumo e inversión de la realidad aumentada en el mundo. En el tercer capítulo se validó la hipótesis propuesta en base a un estudio de encuestas que nos permitió analizar las tendencias y preferencias de los compradores digitales peruanos. Finalmente presentamos nuestra propuesta de modelo de negocio con el CANVAS En el cuarto capítulo se desarrolló el plan de marketing donde explicamos el tamaño y características de nuestro público objetivo y las estrategias a implementar para capturar suscritores y fidelizar clientes. En el quinto capítulo se menciona el plan de operaciones donde se expone las políticas de calidad, procesos, planificación e inventarios de acuerdo a la realidad del mercado peruano. Diseñamos los principales procesos junto a la cadena de valor y detallamos cuales serán tercerizados. En el sexto capítulo se presenta la estructura humana de la aplicación “Mira Como Queda” también se propuso objetivos basados en valores y un organigrama adecuado para el soporte de las operaciones. Proponemos un organigrama y detallamos las responsabilidades de cada área y cómo será el proceso de selección, la capacitación y la estructura de pago de planillas. En el sétimo capítulo se ha desarrollado el análisis financiero donde la inversión inicial para el desarrollo de la aplicación y la puesta en marcha de “Mira como Queda”, así mismo se elaboró el análisis de escenarios financieros que nos permiten asegurar que este proyecto resulta factible y generará beneficios económicos a sus inversionistas. Finalmente se presenta las conclusiones y recomendaciones finales",Ciencias empresariales / Administración
Universidad de Lima,Proyecto de Empresa Abuelo 911,"Lara Grados, Jose Humberto, Osorio Cossio, Adriana Julieth, Rodriguez Villafana, Liz Irene","Trabajo de investigación para optar el grado académico de Maestro en Administración y Dirección de Negocios, Universidad de Lima","Ramos Lira, Antonio",2021,"El 2020, con la pandemia a causa del Covid-19 representó retos en la salud, revaloró la importancia de la familia, derribó los paradigmas del teletrabajo, aceleró la transformación digital con el crecimiento exponencial del comercio electrónico por el uso de aplicaciones como Uber, Rappi y otros que se posicionaban desde el 2009. “The New Normal” generó cambio en los modelos de negocios de empresas actuales y dio fuerza a negocios brindados desde plataformas digitales en el mercado en el que debemos establecernos. La presente tesis tiene como objetivo probar la factibilidad del proyecto Abuelo 911, que nace con la propuesta de cubrir los servicios que requiere el ritmo de vida acelerado de las personas entre los 25 y 55 años del NSE A y B de los hogares de Lima Moderna, quienes demandan ayuda en diversas tareas domésticas como: tutorías, cocina, pintura, etc. Abuelo 911 presta estos servicios con adultos mayores conocedores de estas materias, con la calidez que los caracteriza a través de una plataforma digital que consolidará los servicios de una forma ágil, amigable e inmediata. Es éste el factor diferencial de Abuelo 911, que contribuye indirectamente con mejorar la calidad de vida del Adulto Mayor, siendo el socio estratégico en quienes los jóvenes encuentran la sabiduría y confianza que necesitan en su hogar según las entrevistas.
Se usará estrategias SEO/SEM, Google Analytics para gestionar adecuadamente la captación de mercado y la frecuencia de consumo. Se estima 5 765 atenciones y captación de clientes del 40% para el primer año llegando al quinto año con 21 739 atenciones. Abuelo 911 invertirá S/54 951 con una TIR del 69,6% siendo viable desde la aspecto financiero y comercial con la aceptación del público objetivo que valora la propuesta por tener el impacto social y tecnológico que difiere de la competencia.",Ciencias empresariales / Administración
Universidad de Lima,Plan estratégico de comunicación externa para desarrollar el employer brand de Cineplanet,"Vallejo Tafur, Santiago, Muñoz Guzman, Milagros Lizett","Trabajo de suficiencia profesional para optar el Título Profesional de Licenciado en Comunicación, Universidad de Lima",,2021,"En el Perú, la categoría de cines tiene una cantidad limitada de jugadores donde Cineplanet se posiciona como el líder indiscutible, contando con cines en todo el país y ofreciendo más de la mitad del total de estos establecimientos. Pero a esta empresa, posicionada y líder en la categoría, la pandemia y la crisis política la afecto por igual que a cualquier otra. En esta situación que presentaba desafíos, la empresa tomo una serie de decisiones que fueron erradas y la opinión pública tomo parte en el caso. Como resultado de estas acciones, la imagen de la marca se vio fuertemente afectada, y debido a que las acciones influían directamente en los trabajadores, la percepción de Cineplanet como centro de trabajo se vio desafiada. Entendiendo la coyuntura, las acciones y los actores implicados, este documento busca posicionar a Cineplanet como un espacio atractivo para trabajar con una Propuesta de Valor del Empleador importante. Para eso, se incluyen estrategias y acciones que involucran a cada uno de los partícipes claves y busca resolver los puntos débiles del Employer Brand con el objetivo de convertir a la marca en un referente no solo de la categoría, si no también mundial.",Comunicación / Comunicación corporativa
Universidad de Lima,Estudio de mejora en los sistemas de recompensa del desempeño de empleados para una empresa del sector pesquero peruano,"Van Hemelrijck Noya, Neil Elliot","Trabajo de suficiencia profesional para optar el Título Profesional de Ingeniero Industrial, Universidad de Lima","Zaldívar Peña, Doris Adriana",2021,"El presente trabajo tuvo lugar en una empresa industrial del sector pesquero peruano en el año 2014, en donde se desarrolló un proyecto de uniformización de procesos de reconocimiento por la consecución de objetivos, logros y alineamiento de conductas para todos los colaboradores de la organización que a su vez fue considerado un plan operativo organizacional por estar alineado a la estrategia de la organización. A través de este trabajo se logró determinar las principales causas de la baja uniformidad e integración que tenían los reconocimientos existentes, el desarrollo de un único y propio concepto de uniformidad, la determinación de los criterios clave para poder jerarquizar reconocimientos por su impacto y relevancia para asegurar premiaciones equitativas y transversales, y el establecimiento de un único sistema de premiación a través del otorgamiento de puntos para canjes de premios flexibles. Al finalizar el proyecto se mapearon 25 tipos de reconocimientos, se pasó de un 4% a un 100% de uniformidad en un año, se logró optimizar el presupuesto de las premiaciones ya que los gastos se provisionaron en función a los premios elegidos por los participantes en lugar de un presupuesto anual impreciso y se contribuyó con la mejora del clima organizacional dado que los resultados obtenidos en las preguntas relacionadas con la percepción de los reconocimientos de los colaboradores pasó de 68 puntos a 80 puntos en promedio de acuerdo con la encuesta del Great Place to Work (GPTW) del 2014 vs la del 2015.",Ingeniería industrial / Tecnología de procesos
